2025-10-25 20:23:38,108 | INFO | 📦 Creating HuggingFaceEmbeddings (model=sentence-transformers/all-MiniLM-L6-v2, device=cpu)
2025-10-25 20:23:39,935 | INFO | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-10-25 20:23:44,061 | INFO | 📦 Preloading Flashrank model 'ms-marco-MiniLM-L-12-v2' (cache dir: /Users/oddnaphat/.hf_cache_dir/flashrank_models)
2025-10-25 20:23:44,186 | INFO | ✅ Flashrank model 'ms-marco-MiniLM-L-12-v2' loaded
2025-10-25 20:23:44,232 | INFO | ✅ Loaded statements data from km_evidence_statements_checklist.json.
2025-10-25 20:23:44,239 | INFO | ✅ Data directory 'data', vectorstore 'vectorstore', and ref_data 'ref_data' ensured.
2025-10-25 20:25:34,552 | INFO | 🛑 Application shutdown complete.
2025-10-25 20:25:36,783 | WARNING | ⚠️ Initializing LLM for EVALUATION: Setting temperature=0.0 for stability.
2025-10-25 20:25:36,792 | INFO | ✅ LLM Instance created successfully: llama3.1:8b (Temp: 0.0)
2025-10-25 20:25:36,806 | WARNING | ⚠️ Detected MPS but running in process-parallel mode: forcing device -> cpu to avoid MPS multi-process failures
2025-10-25 20:25:36,806 | INFO | 📦 Creating HuggingFaceEmbeddings (model=sentence-transformers/all-MiniLM-L6-v2, device=cpu)
2025-10-25 20:25:38,318 | INFO | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-10-25 20:25:41,787 | INFO | 📦 Preloading Flashrank model 'ms-marco-MiniLM-L-12-v2' (cache dir: /Users/oddnaphat/.hf_cache_dir/flashrank_models)
2025-10-25 20:25:41,906 | INFO | ✅ Flashrank model 'ms-marco-MiniLM-L-12-v2' loaded
2025-10-25 20:25:41,943 | INFO | ✅ Loaded statements data from km_evidence_statements_checklist.json.
2025-10-25 20:25:41,949 | INFO | ✅ Data directory 'data', vectorstore 'vectorstore', and ref_data 'ref_data' ensured.
2025-10-25 20:25:43,842 | WARNING | ⚠️ Initializing LLM for EVALUATION: Setting temperature=0.0 for stability.
2025-10-25 20:25:43,851 | INFO | ✅ LLM Instance created successfully: llama3.1:8b (Temp: 0.0)
2025-10-25 20:25:43,865 | WARNING | ⚠️ Detected MPS but running in process-parallel mode: forcing device -> cpu to avoid MPS multi-process failures
2025-10-25 20:25:43,865 | INFO | 📦 Creating HuggingFaceEmbeddings (model=sentence-transformers/all-MiniLM-L6-v2, device=cpu)
2025-10-25 20:25:45,144 | INFO | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-10-25 20:25:48,956 | INFO | 📦 Preloading Flashrank model 'ms-marco-MiniLM-L-12-v2' (cache dir: /Users/oddnaphat/.hf_cache_dir/flashrank_models)
2025-10-25 20:25:49,071 | INFO | ✅ Flashrank model 'ms-marco-MiniLM-L-12-v2' loaded
2025-10-25 20:25:49,102 | INFO | ✅ Loaded statements data from km_evidence_statements_checklist.json.
2025-10-25 20:25:49,108 | INFO | ✅ Data directory 'data', vectorstore 'vectorstore', and ref_data 'ref_data' ensured.
2025-10-25 20:40:59,086 | INFO | 🛑 Application shutdown complete.
2025-10-25 20:41:01,992 | WARNING | ⚠️ Initializing LLM for EVALUATION: Setting temperature=0.0 for stability.
2025-10-25 20:41:02,001 | INFO | ✅ LLM Instance created successfully: llama3.1:8b (Temp: 0.0)
2025-10-25 20:41:02,018 | WARNING | ⚠️ Detected MPS but running in process-parallel mode: forcing device -> cpu to avoid MPS multi-process failures
2025-10-25 20:41:02,018 | INFO | 📦 Creating HuggingFaceEmbeddings (model=sentence-transformers/all-MiniLM-L6-v2, device=cpu)
2025-10-25 20:41:03,757 | INFO | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-10-25 20:41:07,274 | INFO | 📦 Preloading Flashrank model 'ms-marco-MiniLM-L-12-v2' (cache dir: /Users/oddnaphat/.hf_cache_dir/flashrank_models)
2025-10-25 20:41:07,413 | INFO | ✅ Flashrank model 'ms-marco-MiniLM-L-12-v2' loaded
2025-10-25 20:41:07,463 | INFO | ✅ Loaded statements data from km_evidence_statements_checklist.json.
2025-10-25 20:41:07,469 | INFO | ✅ Data directory 'data', vectorstore 'vectorstore', and ref_data 'ref_data' ensured.
2025-10-25 20:41:47,802 | WARNING | ⚠️ Detected MPS but running in process-parallel mode: forcing device -> cpu to avoid MPS multi-process failures
2025-10-25 20:41:47,802 | INFO | 📦 Creating HuggingFaceEmbeddings (model=sentence-transformers/all-MiniLM-L6-v2, device=cpu)
2025-10-25 20:41:49,243 | INFO | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
